Timestamp,In which country do you engage in your primary professional activity?,Is English your first language?,"What type of institution are you affiliated with? Please choose the closest option from the list and, if you work at more than one, please choose the option that describes your primary affiliation or where most of your work gets done.",What is your primary field of research or practice? Please choose the one that best describes your research or practice.,"How long have you been involved in research, practice, or creative activity?",Are you a member of a GCCR committee (this includes members of the Leadership Team)?,How do you participate in the GCCR?,What is your main source of GCCR information and activities?,The primary people I interact with (not on a project) are,The primary people I collaborate with (on a project other than GCCR-wide papers) are,What have you found to be the single best way to form or join a NEW collaboration on Slack via the GCCR?,"If you are experiencing barriers to participation in the GCCR, which of the following apply?","If you have observed others experiencing barriers to participation in the GCCR, which of the following apply?","Please share any additional comments on diversity, equity, and/or inclusivity/inclusion in the GCCR."
1/26/2022 7:20,USA,Yes,"Non-Academic Institution (e.g., not degree granting) or Research Institution","Life Sciences (including biochemistry, genetics/genomics)",15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
1/26/2022 7:25,Netherlands,No,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),5-9 years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,"Time to participate, Time zone differences","Time to participate, Time zone differences",
1/26/2022 7:25,UK,Yes,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Town Hall and Webinars,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Direct contact via messaging,Time to participate,I have not observed others experiencing barriers to participation.,
1/26/2022 7:32,France,No,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),0-4 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,"Time to participate, Time zone differences",I have not observed others experiencing barriers to participation.,
1/26/2022 7:34,Australia,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",5-9 years,Yes,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter), Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,Time zone differences,I have not observed others experiencing barriers to participation.,
1/26/2022 7:44,Italy,No,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),5-9 years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Contributing to GCCR-wide papers,Time to participate,I have not observed others experiencing barriers to participation.,
1/26/2022 7:55,spain,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Direct solicitation for specific expertise,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
1/26/2022 8:00,Italy,No,Medical/Clinical,Clinical,15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I knew about before becoming a GCCR member (but did not talk to).,people I knew about before becoming a GCCR member (but did not talk to).,Meeting on a project idea page,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
1/26/2022 8:03,United States,No,Non-profit organization,Social and Perceptual Sciences (including human behavior and culture),10-14 years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I knew about before becoming a GCCR member (but did not talk to).,people I did not know before becoming a GCCR member.,Direct contact via messaging,I am not experiencing barriers to participation.,Time to participate,
1/26/2022 8:09,Finland,No,Academic Institution,Social and Perceptual Sciences (including human behavior and culture),15+ years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Newsletter,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,Time to participate,I have not observed others experiencing barriers to participation.,
1/26/2022 8:09,Belgium,No,Self-employed or freelance,Clinical,5-9 years,No,"Passive participation (e.g., checking Slack daily/weekly or reading the newsletter)",Slack,people I did not know before becoming a GCCR member.,people I did know before becoming a GCCR member.,Direct contact via messaging,Language,I have not observed others experiencing barriers to participation.,
1/26/2022 8:11,Denmark,No,Medical/Clinical,Clinical,10-14 years,No,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I knew about before becoming a GCCR member (but did not talk to).,Contributing to GCCR-wide papers,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
1/26/2022 8:12,USA,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,Yes,"Active participation (e.g., GCCR committee or Leadership Team, research collaboration due to being a GCCR member)",Slack,people I did not know before becoming a GCCR member.,people I did not know before becoming a GCCR member.,Being a project member on a new or existing GCCR data study,I am not experiencing barriers to participation.,"Language, Time zone differences",
1/26/2022 8:45,italy,No,Academic Institution,"Life Sciences (including biochemistry, genetics/genomics)",15+ years,No,,Newsletter,people I did know before becoming a GCCR member.,people I did know before becoming a GCCR member.,I have not found a way to form or join a new collaboration on Slack,I am not experiencing barriers to participation.,I have not observed others experiencing barriers to participation.,
